Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
50485,"4,633.93","4,633.93",10/10/2014
48830,"36,245.41","36,245.41",10/10/2014
50564,"30,634.95","30,634.95",10/10/2014
50368,"3,227.41","3,227.41",10/14/2014
50319,"3,450.00","3,450.00",10/14/2014
50551,"12,946.43","12,946.43",10/14/2014
50551,"9,092.98","9,092.98",10/14/2014
50551,"15,691.71","15,691.71",10/14/2014
49168,"20,416.67","20,416.67",10/13/2014
49694,474.00,474.00,10/13/2014
49448,"5,000.00","5,000.00",10/13/2014
48350,"2,666.00","2,666.00",10/13/2014
50759,"20,617.92","20,617.92",10/14/2014
48607,"2,094.53","2,094.53",10/14/2014
48830,"48,456.64","48,456.64",10/14/2014
48830,"30,002.81","30,002.81",10/14/2014
48351,742.27,742.27,10/14/2014
49250,"1,588.50","1,588.50",10/15/2014
50761,"5,500.00","5,500.00",10/15/2014
50793,"20,000.00","20,000.00",10/15/2014
43457,"11,684.00","11,684.00",10/15/2014
50776,"2,500.00","2,500.00",10/16/2014
42011,931.12,931.12,10/16/2014
42011,685.66,685.66,10/16/2014
42011,923.00,923.00,10/16/2014
42011,140.00,140.00,10/16/2014
42011,195.42,195.42,10/16/2014
42011,"13,601.71","13,601.71",10/16/2014
42011,156.11,156.11,10/16/2014
49483,"2,668.00","2,668.00",10/16/2014
45987,"1,262.88","1,262.88",10/16/2014
45987,"5,051.51","5,051.51",10/16/2014
50690,520.87,520.87,10/20/2014
50799,"11,142.53","11,142.53",10/20/2014
50817,"12,500.00","12,500.00",10/20/2014
50817,"12,500.00","12,500.00",10/20/2014
49187,"3,000.00","3,000.00",10/20/2014
50712,"2,396.20","2,396.20",10/20/2014
48970,"461,182.83","461,182.83",10/21/2014
48970,"183,688.88","183,688.88",10/21/2014
50564,"30,789.00","30,789.00",10/21/2014
50564,880.48,880.48,10/21/2014
50530,"14,688.41","14,688.41",10/21/2014
50562,"11,202.55","11,202.55",10/21/2014
49700,"2,180.00","2,180.00",10/21/2014
49700,262.00,262.00,10/21/2014
50460,"8,191.27","8,191.27",10/22/2014
50460,"7,981.96","7,981.96",10/22/2014
50158,"5,000.00","5,000.00",10/22/2014
50525,"4,525.00","4,525.00",10/22/2014
50525,"3,600.00","3,600.00",10/22/2014
50525,"3,150.00","3,150.00",10/22/2014
50477,"13,401.69","13,401.69",10/22/2014
50445,"15,160.00","15,160.00",10/22/2014
50530,"2,036.27","2,036.27",10/21/2014
50530,"11,406.36","11,406.36",10/21/2014
50773,"1,083.00","1,083.00",10/23/2014
50773,"1,083.00","1,083.00",10/23/2014
50775,"1,083.00","1,083.00",10/23/2014
50775,"1,083.00","1,083.00",10/23/2014
37975,"5,208.34","5,208.34",10/22/2014
50561,"8,754.43","8,754.43",10/22/2014
49638,"1,318.80","1,318.80",10/22/2014
47868,"39,439.89","39,439.89",10/22/2014
47868,"3,621.94","3,621.94",10/22/2014
495322,338.84,338.84,10/22/2014
495322,169.42,169.42,10/22/2014
50811,"20,000.00","20,000.00",10/24/2014
50811,"1,000.00","1,000.00",10/24/2014
50305,"30,714.13","30,714.13",10/24/2014
50687,"14,153.67","14,153.67",10/24/2014
49638,"1,897.54","1,897.54",10/23/2014
49638,"2,832.74","2,832.74",10/23/2014
50563,"3,814.45","3,814.45",10/23/2014
494928,"2,605.00","2,605.00",10/23/2014
494928,"9,233.00","9,233.00",10/23/2014
494928,"2,023.00","2,023.00",10/23/2014
494928,"2,097.00","2,097.00",10/23/2014
50528,"44,786.00","44,786.00",10/23/2014
48829,528.80,528.80,10/23/2014
48829,"24,348.71","24,348.71",10/23/2014
50496,"12,558.00","12,558.00",10/24/2014
50545,"1,487.72","1,487.72",10/24/2014
49483,"1,532.00","1,532.00",10/24/2014
49638,"4,636.02","4,636.02",10/24/2014
49638,"2,520.52","2,520.52",10/24/2014
50436,"12,241.04","12,241.04",10/28/2014
50386,"1,065.48","1,065.48",10/28/2014
50386,"4,283.41","4,283.41",10/28/2014
50768,"2,080.16","2,080.16",10/28/2014
50784,"35,630.70","35,630.70",10/28/2014
50784,"71,476.26","71,476.26",10/28/2014
50484,"16,246.57","16,246.57",10/28/2014
50484,"12,755.21","12,755.21",10/28/2014
50484,"15,680.55","15,680.55",10/28/2014
50484,"10,078.57","10,078.57",10/28/2014
49053,"10,312.50","10,312.50",10/24/2014
49053,"10,312.50","10,312.50",10/24/2014
50434,721.25,721.25,10/24/2014
50407,"12,942.80","12,942.80",10/28/2014
49756,"21,259.10","21,259.10",10/24/2014
49756,"34,118.38","34,118.38",10/24/2014
48600,"92,845.04","92,845.04",10/27/2014
48600,124.96,124.96,10/27/2014
46464,"5,921.86","5,921.86",10/29/2014
50304,"55,454.00","55,454.00",10/31/2014
50798,"1,768,400.00","1,768,400.00",10/31/2014
49884,"7,744.31","7,744.31",10/31/2014
49884,"2,379.50","2,379.50",10/31/2014
49884,"12,428.83","12,428.83",10/31/2014
50809,203.37,203.37,10/31/2014
50809,"2,606.56","2,606.56",10/31/2014
50546,"1,371.80","1,371.80",10/29/2014
50561,"21,082.34","21,082.34",10/29/2014
50566,"5,794.02","5,794.02",10/29/2014
50153,"1,681.87","1,681.87",10/29/2014
50153,"3,110.11","3,110.11",10/29/2014
50083,"22,354.00","22,354.00",10/29/2014
49638,263.23,263.23,10/29/2014
49934,"290,261.10","290,261.10",10/29/2014
49934,"191,574.15","191,574.15",10/29/2014
49621,"2,520.09","2,520.09",10/29/2014
49621,"7,006.20","7,006.20",10/29/2014
49804,"3,736.60","3,736.60",10/30/2014
49804,"1,305.46","1,305.46",10/30/2014
49804,"14,946.40","14,946.40",10/30/2014
49804,"5,221.84","5,221.84",10/30/2014
47867,"7,440.12","7,440.12",10/31/2014
50486,"20,093.48","20,093.48",10/31/2014
50486,"7,593.48","7,593.48",10/31/2014
50486,"1,024.32","1,024.32",10/31/2014
50773,"1,083.00","1,083.00",11/4/2014
50775,"1,083.00","1,083.00",11/4/2014
50530,"6,397.00","6,397.00",10/31/2014
50574,"27,040.00","27,040.00",10/31/2014
50561,"10,328.08","10,328.08",10/31/2014
50561,"10,319.28","10,319.28",10/31/2014
50605,"4,169.88","4,169.88",10/31/2014
50605,"1,235.28","1,235.28",10/31/2014
50605,"2,363.94","2,363.94",10/31/2014
50605,"2,396.75","2,396.75",10/31/2014
50605,"2,344.55","2,344.55",10/31/2014
50605,"1,122.68","1,122.68",10/31/2014
49483,"15,168.16","15,168.16",10/31/2014
50247,"12,358.54","12,358.54",10/31/2014
50247,"147,710.60","147,710.60",10/31/2014
50247,"40,017.29","40,017.29",10/31/2014
49621,"3,750.02","3,750.02",11/3/2014
50527,"30,004.00","30,004.00",11/3/2014
50800,"58,284.34","58,284.34",11/3/2014
49621,"4,422.03","4,422.03",11/3/2014
50723,"30,000.00","30,000.00",11/4/2014
50723,"11,044.50","11,044.50",11/4/2014
50723,"2,828.70","2,828.70",11/4/2014
50723,370.00,370.00,11/4/2014
50723,219.00,219.00,11/4/2014
50723,219.00,219.00,11/4/2014
48970,"252,924.43","252,924.43",11/5/2014
48970,"461,182.83","461,182.83",11/5/2014
50092,"8,270.59","8,270.59",11/5/2014
47660,"62,100.00","62,100.00",11/5/2014
50517,"6,857.51","6,857.51",11/5/2014
50451,"2,000.00","2,000.00",11/5/2014
50598,"9,705.81","9,705.81",11/5/2014
50598,"5,436.52","5,436.52",11/5/2014
50598,"5,695.24","5,695.24",11/5/2014
50566,"14,296.18","14,296.18",11/6/2014
50720,"3,314.53","3,314.53",11/6/2014
50879,"42,218.32","42,218.32",11/7/2014
49408,"6,929.90","6,929.90",11/7/2014
43457,"12,498.84","12,498.84",11/7/2014
50347,"1,150.01","1,150.01",11/7/2014
50816,"5,000.00","5,000.00",11/7/2014
50583,"1,582.71","1,582.71",11/7/2014
50583,"2,600.00","2,600.00",11/7/2014
50568,"1,089.99","1,089.99",11/7/2014
50568,"12,988.94","12,988.94",11/7/2014
49621,"8,722.18","8,722.18",11/7/2014
50885,"52,920.47","52,920.47",11/7/2014
50910,"65,670.00","65,670.00",11/7/2014
50910,"83,225.00","83,225.00",11/7/2014
50910,"48,172.50","48,172.50",11/7/2014
50910,"52,932.50","52,932.50",11/7/2014
50806,"5,100.00","5,100.00",11/7/2014
50806,550.00,550.00,11/7/2014
50247,"168,937.38","168,937.38",11/10/2014
49804,"2,705.28","2,705.28",11/10/2014
49804,676.32,676.32,11/10/2014
49804,"2,164.74","2,164.74",11/10/2014
49804,541.19,541.19,11/10/2014
50111,561.65,561.65,11/12/2014
50111,"98,863.49","98,863.49",11/12/2014
50568,"1,033.00","1,033.00",11/12/2014
48600,"51,762.88","51,762.88",11/12/2014
42011,"6,028.12","6,028.12",11/13/2014
42011,480.38,480.38,11/13/2014
42011,520.38,520.38,11/13/2014
42011,183.20,183.20,11/13/2014
42011,"1,082.88","1,082.88",11/13/2014
42011,91.60,91.60,11/13/2014
49551,937.68,937.68,11/13/2014
49551,499.04,499.04,11/13/2014
50772,"4,000.00","4,000.00",11/17/2014
50772,"5,000.00","5,000.00",11/17/2014
50766,"3,000.00","3,000.00",11/17/2014
50766,"2,000.00","2,000.00",11/17/2014
50766,"8,000.00","8,000.00",11/17/2014
50766,"2,000.00","2,000.00",11/17/2014
50682,"6,346.26","6,346.26",11/17/2014
50687,"7,346.32","7,346.32",11/17/2014
50886,"11,243.75","11,243.75",11/13/2014
50707,"64,666.66","64,666.66",11/13/2014
50729,"4,080.00","4,080.00",11/17/2014
50305,"17,275.23","17,275.23",11/17/2014
50873,700.00,700.00,11/17/2014
50872,679.87,679.87,11/17/2014
50865,649.45,649.45,11/17/2014
50842,"33,223.16","33,223.16",11/17/2014
49448,"5,000.00","5,000.00",11/17/2014
49694,988.00,988.00,11/17/2014
42011,"12,501.19","12,501.19",11/17/2014
42011,195.42,195.42,11/17/2014
42011,923.00,923.00,11/17/2014
42011,140.00,140.00,11/17/2014
42011,156.11,156.11,11/17/2014
50153,"10,016.86","10,016.86",11/17/2014
50127,"43,033.52","43,033.52",11/17/2014
45987,"13,612.78","13,612.78",11/17/2014
45987,"3,403.20","3,403.20",11/17/2014
50868,699.87,699.87,11/17/2014
50870,670.72,670.72,11/17/2014
50871,660.80,660.80,11/17/2014
50867,700.00,700.00,11/17/2014
50877,"30,772.08","30,772.08",11/17/2014
50862,"21,598.66","21,598.66",11/17/2014
50876,"10,700.00","10,700.00",11/17/2014
494928,"6,103.00","6,103.00",11/17/2014
37975,"5,208.34","5,208.34",11/17/2014
50113,"2,195.50","2,195.50",11/19/2014
50503,"6,923.00","6,923.00",11/19/2014
49187,"3,000.00","3,000.00",11/19/2014
50476,"12,500.00","12,500.00",11/19/2014
50817,"12,500.00","12,500.00",11/19/2014
50843,"28,356.71","28,356.71",11/19/2014
50920,"29,847.67","29,847.67",11/19/2014
50691,"9,625.00","9,625.00",11/21/2014
50804,"3,699.18","3,699.18",11/21/2014
50808,"5,651.63","5,651.63",11/21/2014
50304,"77,566.25","77,566.25",11/21/2014
49884,"4,585.12","4,585.12",11/21/2014
49884,"12,726.50","12,726.50",11/21/2014
50460,"8,414.40","8,414.40",11/21/2014
50784,"36,478.53","36,478.53",11/21/2014
50784,"5,136.51","5,136.51",11/21/2014
50882,"6,080.00","6,080.00",11/19/2014
50912,"45,542.81","45,542.81",11/19/2014
50882,"6,625.79","6,625.79",11/19/2014
48972,"4,349.87","4,349.87",11/20/2014
49251,"1,100.00","1,100.00",11/20/2014
494928,"2,665.00","2,665.00",11/20/2014
494928,322.00,322.00,11/20/2014
49986,195.00,195.00,11/20/2014
50866,700.00,700.00,11/20/2014
495357,214.00,214.00,11/20/2014
494928,"2,051.00","2,051.00",11/20/2014
48831,676.41,676.41,11/20/2014
50566,"4,828.35","4,828.35",11/20/2014
50566,"13,208.42","13,208.42",11/20/2014
45987,"10,818.90","10,818.90",11/20/2014
45987,"2,704.72","2,704.72",11/20/2014
48785,"2,588.91","2,588.91",11/20/2014
47868,"7,738.31","7,738.31",11/20/2014
47868,"1,061.12","1,061.12",11/20/2014
47868,"5,022.89","5,022.89",11/20/2014
50891,"22,500.00","22,500.00",11/21/2014
50891,"29,050.00","29,050.00",11/21/2014
50891,"26,175.00","26,175.00",11/21/2014
50891,"19,625.00","19,625.00",11/21/2014
50527,"15,002.00","15,002.00",11/21/2014
50884,"47,157.07","47,157.07",11/21/2014
50900,"17,748.46","17,748.46",11/21/2014
50900,"33,711.52","33,711.52",11/21/2014
50900,"37,430.77","37,430.77",11/21/2014
50900,"30,939.96","30,939.96",11/21/2014
50849,"10,473.50","10,473.50",11/21/2014
50849,"13,323.50","13,323.50",11/21/2014
50849,"9,048.50","9,048.50",11/21/2014
49187,"3,000.00","3,000.00",11/21/2014
49575,"5,852.50","5,852.50",11/24/2014
50540,"2,449.05","2,449.05",11/24/2014
50491,"1,193.50","1,193.50",11/24/2014
50491,"11,226.50","11,226.50",11/24/2014
50319,"1,725.00","1,725.00",11/25/2014
50740,430.98,430.98,11/25/2014
50740,"1,203.63","1,203.63",11/25/2014
50740,296.37,296.37,11/25/2014
50740,"1,500.00","1,500.00",11/25/2014
50740,500.00,500.00,11/25/2014
50740,"1,306.53","1,306.53",11/25/2014
50680,"62,392.87","62,392.87",11/25/2014
50688,"13,058.14","13,058.14",11/25/2014
42275,"115,441.67","115,441.67",11/24/2014
42275,"115,441.67","115,441.67",11/24/2014
48201,"10,237.99","10,237.99",11/24/2014
48201,"194,521.78","194,521.78",11/24/2014
50845,"11,248.50","11,248.50",11/25/2014
50845,"17,723.50","17,723.50",11/25/2014
50845,"14,173.50","14,173.50",11/25/2014
50845,"21,548.50","21,548.50",11/25/2014
50846,"4,765.69","4,765.69",11/25/2014
50846,"5,168.88","5,168.88",11/25/2014
50846,"5,643.74","5,643.74",11/25/2014
50846,"5,952.28","5,952.28",11/25/2014
50849,"12,698.50","12,698.50",11/25/2014
50930,"180,000.06","180,000.06",11/25/2014
50878,"56,310.45","56,310.45",11/25/2014
50860,"2,083.26","2,083.26",11/25/2014
50773,"1,083.00","1,083.00",11/26/2014
50860,"2,083.34","2,083.34",11/25/2014
50860,"2,083.34","2,083.34",11/25/2014
50903,"2,923.20","2,923.20",11/25/2014
50775,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50898,"1,083.00","1,083.00",11/26/2014
50247,"511,863.08","511,863.08",11/26/2014
50247,"105,401.14","105,401.14",11/26/2014
49010,"17,500.00","17,500.00",11/26/2014
50934,"10,025.31","10,025.31",11/26/2014
50923,"14,158.89","14,158.89",11/26/2014
50848,"8,454.20","8,454.20",11/26/2014
50848,"28,238.02","28,238.02",11/26/2014
50848,"26,511.49","26,511.49",11/26/2014
50848,"23,314.24","23,314.24",11/26/2014
50596,"1,080.00","1,080.00",11/26/2014
50939,"17,500.00","17,500.00",11/26/2014
46464,"1,696.01","1,696.01",12/2/2014
50027,"1,197.34","1,197.34",12/12/2014
50929,"122,074.31","122,074.31",12/2/2014
50434,80.00,80.00,12/2/2014
49755,"13,445.59","13,445.59",12/2/2014
50605,"3,091.04","3,091.04",12/2/2014
50605,"1,159.96","1,159.96",12/2/2014
50605,"1,195.69","1,195.69",12/2/2014
50605,"1,233.48","1,233.48",12/2/2014
50605,617.41,617.41,12/2/2014
50828,"4,516.05","4,516.05",12/3/2014
48491,"42,240.00","42,240.00",12/2/2014
50828,"2,500.00","2,500.00",12/3/2014
50477,"3,119.81","3,119.81",12/3/2014
50584,"2,000.00","2,000.00",12/3/2014
50834,585.42,585.42,12/3/2014
49545,"3,045.15","3,045.15",12/2/2014
50931,"10,000.00","10,000.00",12/3/2014
50931,"10,000.00","10,000.00",12/3/2014
50931,"10,000.00","10,000.00",12/3/2014
49483,"3,984.00","3,984.00",12/3/2014
48607,88.97,88.97,12/3/2014
48607,"1,849.50","1,849.50",12/3/2014
50928,"43,764.57","43,764.57",12/4/2014
50934,"107,491.14","107,491.14",12/4/2014
50939,"162,500.00","162,500.00",12/4/2014
50860,"2,083.34","2,083.34",12/4/2014
50899,662.00,662.00,12/4/2014
50899,330.00,330.00,12/4/2014
50899,"1,434.00","1,434.00",12/4/2014
50899,883.00,883.00,12/4/2014
50899,"1,018.00","1,018.00",12/4/2014
50899,479.00,479.00,12/4/2014
50899,100.00,100.00,12/4/2014
50806,"2,850.00","2,850.00",12/4/2014
50806,"14,000.00","14,000.00",12/4/2014
50806,510.00,510.00,12/4/2014
50841,"5,177.98","5,177.98",12/4/2014
48600,"54,786.02","54,786.02",12/4/2014
49168,"20,416.63","20,416.63",12/4/2014
42011,"6,869.53","6,869.53",12/4/2014
42011,206.93,206.93,12/4/2014
42011,183.20,183.20,12/4/2014
42011,91.60,91.60,12/4/2014
42011,"1,087.13","1,087.13",12/4/2014
42011,364.82,364.82,12/4/2014
50251,570.00,570.00,12/4/2014
50092,"8,270.59","8,270.59",12/4/2014
50819,"150,000.00","150,000.00",12/4/2014
50853,"12,659.20","12,659.20",12/4/2014
50605,"1,847.16","1,847.16",12/4/2014
50605,"1,153.00","1,153.00",12/4/2014
50605,"1,177.11","1,177.11",12/4/2014
50090,"273,061.35","273,061.35",12/4/2014
50926,700.00,700.00,12/5/2014
49251,"1,100.00","1,100.00",12/5/2014
48972,"4,349.87","4,349.87",12/5/2014
50923,"26,203.34","26,203.34",12/5/2014
50598,"3,413.31","3,413.31",12/9/2014
50598,"8,071.50","8,071.50",12/9/2014
50741,"28,096.13","28,096.13",12/9/2014
50741,"35,379.32","35,379.32",12/9/2014
50590,"4,000.00","4,000.00",12/9/2014
50368,"2,653.66","2,653.66",12/9/2014
50809,"1,937.75","1,937.75",12/9/2014
50904,"2,448.00","2,448.00",12/9/2014
48831,239.85,239.85,12/5/2014
48831,"8,408.16","8,408.16",12/5/2014
48831,760.92,760.92,12/5/2014
48831,"4,048.89","4,048.89",12/5/2014
50810,"5,000.00","5,000.00",12/9/2014
50393,"1,985.32","1,985.32",12/9/2014
50393,"2,513.68","2,513.68",12/9/2014
50393,"2,443.82","2,443.82",12/9/2014
50393,880.53,880.53,12/9/2014
50304,"80,167.00","80,167.00",12/9/2014
49884,"3,582.19","3,582.19",12/9/2014
50459,"3,375.00","3,375.00",12/9/2014
48587,"16,000.00","16,000.00",12/5/2014
50956,"35,488.00","35,488.00",12/5/2014
50833,"4,356.68","4,356.68",12/9/2014
50476,"6,250.00","6,250.00",12/8/2014
50817,"12,500.00","12,500.00",12/8/2014
50886,"1,881.25","1,881.25",12/8/2014
43457,"21,630.92","21,630.92",12/8/2014
50720,"4,915.00","4,915.00",12/8/2014
50561,"2,652.73","2,652.73",12/8/2014
50935,"990,165.00","990,165.00",12/15/2014
48830,"26,613.55","26,613.55",12/10/2014
37975,"5,208.34","5,208.34",12/9/2014
50679,"2,163.39","2,163.39",12/9/2014
48607,811.33,811.33,12/9/2014
48607,"1,958.20","1,958.20",12/9/2014
45987,"22,383.66","22,383.66",12/9/2014
45987,"5,595.91","5,595.91",12/9/2014
48830,"33,361.67","33,361.67",12/9/2014
50574,"27,586.00","27,586.00",12/10/2014
48830,"14,708.90","14,708.90",12/9/2014
48830,"21,799.18","21,799.18",12/9/2014
50899,956.00,956.00,12/10/2014
50863,700.00,700.00,12/10/2014
50299,"114,017.22","114,017.22",12/10/2014
50299,"100,000.00","100,000.00",12/10/2014
46223,"1,468.00","1,468.00",12/10/2014
42011,307.00,307.00,12/10/2014
42011,923.00,923.00,12/10/2014
42011,140.00,140.00,12/10/2014
46113,"1,373.04","1,373.04",12/10/2014
49545,"21,362.00","21,362.00",12/10/2014
49686,"114,272.23","114,272.23",12/10/2014
49686,"1,400.00","1,400.00",12/10/2014
50922,697.17,697.17,12/10/2014
50741,"43,758.25","43,758.25",12/10/2014
50900,"24,522.98","24,522.98",12/10/2014
50864,471.76,471.76,12/10/2014
50846,"5,076.51","5,076.51",12/10/2014
49551,343.30,343.30,12/10/2014
50299,"300,000.00","300,000.00",12/10/2014
50566,"6,615.38","6,615.38",12/11/2014
50566,"13,801.58","13,801.58",12/11/2014
50113,"3,555.50","3,555.50",12/11/2014
50781,"154,318.49","154,318.49",12/11/2014
50400,"12,360.46","12,360.46",12/12/2014
50400,"12,360.46","12,360.46",12/12/2014
50817,"12,500.00","12,500.00",12/12/2014
49408,"7,366.45","7,366.45",12/12/2014
49408,933.39,933.39,12/12/2014
49694,728.00,728.00,12/12/2014
50931,"10,000.00","10,000.00",12/12/2014
50960,640.00,640.00,12/12/2014
50960,120.00,120.00,12/12/2014
50960,40.00,40.00,12/12/2014
50959,"3,200.00","3,200.00",12/12/2014
50959,600.00,600.00,12/12/2014
50959,200.00,200.00,12/12/2014
50957,"4,986.43","4,986.43",12/12/2014
50957,"1,516.61","1,516.61",12/12/2014
50814,"3,000.00","3,000.00",12/15/2014
50957,"1,458.40","1,458.40",12/12/2014
50814,"5,000.00","5,000.00",12/15/2014
50815,"5,000.00","5,000.00",12/15/2014
50957,"174,430.85","174,430.85",12/12/2014
50957,"32,705.78","32,705.78",12/12/2014
50957,"10,901.93","10,901.93",12/12/2014
50957,"2,400.00","2,400.00",12/12/2014
50957,450.00,450.00,12/12/2014
50957,150.00,150.00,12/12/2014
50714,"5,000.00","5,000.00",12/15/2014
50957,"12,800.00","12,800.00",12/12/2014
50957,"2,400.00","2,400.00",12/12/2014
50957,800.00,800.00,12/12/2014
50481,"8,464.08","8,464.08",12/15/2014
50368,"2,690.05","2,690.05",12/15/2014
50833,"3,143.32","3,143.32",12/15/2014
50833,529.98,529.98,12/15/2014
50696,"2,179.27","2,179.27",12/15/2014
50696,"1,985.56","1,985.56",12/15/2014
50696,"2,098.80","2,098.80",12/15/2014
50696,"2,136.45","2,136.45",12/15/2014
50958,"2,960.00","2,960.00",12/12/2014
50696,"2,086.52","2,086.52",12/15/2014
50958,555.00,555.00,12/12/2014
50958,185.00,185.00,12/12/2014
50696,"1,937.45","1,937.45",12/15/2014
50958,240.00,240.00,12/12/2014
50696,"1,868.71","1,868.71",12/15/2014
50958,45.00,45.00,12/12/2014
50958,15.00,15.00,12/12/2014
50696,"1,797.14","1,797.14",12/15/2014
50958,"1,120.00","1,120.00",12/12/2014
50958,210.00,210.00,12/12/2014
50696,"1,738.18","1,738.18",12/15/2014
50958,70.00,70.00,12/12/2014
50696,754.92,754.92,12/15/2014
50562,"7,725.34","7,725.34",12/12/2014
50562,"10,486.91","10,486.91",12/12/2014
50561,"6,397.79","6,397.79",12/12/2014
495357,"31,735.00","31,735.00",12/12/2014
49192,"277,319.56","277,319.56",12/12/2014
50733,"3,000.00","3,000.00",12/15/2014
50733,"1,500.00","1,500.00",12/15/2014
48201,"95,228.49","95,228.49",12/15/2014
49804,"3,535.47","3,535.47",12/15/2014
49804,883.87,883.87,12/15/2014
49804,"1,974.71","1,974.71",12/15/2014
49804,493.68,493.68,12/15/2014
48350,"1,940.48","1,940.48",12/15/2014
48350,"4,324.52","4,324.52",12/15/2014
50720,973.00,973.00,12/15/2014
50845,"15,023.50","15,023.50",12/15/2014
50901,725.00,725.00,12/15/2014
50217,"8,550.00","8,550.00",12/15/2014
50217,"7,500.00","7,500.00",12/15/2014
50217,"2,500.00","2,500.00",12/15/2014
50921,"3,369.30","3,369.30",12/15/2014
50921,577.50,577.50,12/15/2014
50921,"1,031.25","1,031.25",12/15/2014
50921,866.25,866.25,12/15/2014
50585,"48,757.15","48,757.15",12/15/2014
50585,525.15,525.15,12/15/2014
50585,"5,000.00","5,000.00",12/15/2014
42011,"3,948.29","3,948.29",12/15/2014
42011,"2,757.60","2,757.60",12/15/2014
42011,150.00,150.00,12/15/2014
42275,"115,441.67","115,441.67",12/15/2014
50585,"6,664.14","6,664.14",12/15/2014
50761,"5,500.00","5,500.00",12/16/2014
50562,"11,882.35","11,882.35",12/16/2014
495605,"34,500.00","34,500.00",12/16/2014
50262,"74,515.20","74,515.20",12/16/2014
49986,210.00,210.00,12/16/2014
495613,"17,851.65","17,851.65",12/17/2014
50717,"15,262.50","15,262.50",12/17/2014
50803,393.50,393.50,12/17/2014
50803,885.00,885.00,12/17/2014
50803,"1,015.50","1,015.50",12/17/2014
50111,"101,136.51","101,136.51",12/17/2014
50111,"123,751.79","123,751.79",12/17/2014
50891,"18,250.00","18,250.00",12/17/2014
48970,"461,182.83","461,182.83",12/17/2014
50141,"25,000.00","25,000.00",12/17/2014
50141,"25,000.00","25,000.00",12/17/2014
50978,"22,248.00","22,248.00",12/18/2014
48831,"4,180.00","4,180.00",12/19/2014
49250,"1,364.00","1,364.00",12/19/2014
50153,"17,215.64","17,215.64",12/19/2014
50153,562.82,562.82,12/19/2014
50082,"34,723.37","34,723.37",12/19/2014
50563,"46,557.99","46,557.99",12/19/2014
50563,"13,089.15","13,089.15",12/19/2014
50563,"30,065.20","30,065.20",12/19/2014
47794,"1,650.00","1,650.00",12/22/2014
47794,"102,265.50","102,265.50",12/22/2014
47794,"51,132.75","51,132.75",12/22/2014
50679,"1,701.16","1,701.16",12/22/2014
49621,"7,093.55","7,093.55",12/22/2014
48970,"474,702.08","474,702.08",12/22/2014
50717,"3,922.50","3,922.50",12/22/2014
50777,"651,545.00","651,545.00",12/22/2014
50141,"25,000.00","25,000.00",12/23/2014
42011,"42,875.99","42,875.99",1/7/2015
50092,"8,270.59","8,270.59",1/8/2015
50270,"4,412.51","4,412.51",1/9/2015
50496,"13,946.05","13,946.05",1/9/2015
47660,"2,500.00","2,500.00",1/9/2015
49408,"9,765.00","9,765.00",1/9/2015
49408,"2,422.12","2,422.12",1/9/2015
49408,"25,901.08","25,901.08",1/9/2015
49192,"20,980.75","20,980.75",1/12/2015
43457,"12,964.72","12,964.72",1/12/2015
50977,"11,250.00","11,250.00",1/14/2015
50460,"4,798.82","4,798.82",1/14/2015
50741,"35,982.41","35,982.41",1/14/2015
50977,"1,500.00","1,500.00",1/14/2015
50977,"2,250.00","2,250.00",1/14/2015
50965,"3,000.00","3,000.00",1/14/2015
50491,"2,930.00","2,930.00",1/14/2015
50307,"2,000.00","2,000.00",1/14/2015
50953,"2,279.36","2,279.36",1/23/2015
50953,"2,304.60","2,304.60",1/23/2015
50953,916.04,916.04,1/23/2015
50969,"3,388.66","3,388.66",1/23/2015
50969,"1,195.15","1,195.15",1/23/2015
50969,"4,799.72","4,799.72",1/23/2015
50969,"4,638.09","4,638.09",1/23/2015
50904,"2,488.00","2,488.00",1/23/2015
50904,64.00,64.00,1/23/2015
50904,"2,708.00","2,708.00",1/23/2015
50470,"5,000.00","5,000.00",1/14/2015
50974,"1,184.01","1,184.01",1/14/2015
50974,"1,108.65","1,108.65",1/14/2015
50974,864.91,864.91,1/14/2015
50944,"3,903.55","3,903.55",1/14/2015
50944,"4,157.67","4,157.67",1/14/2015
50944,"4,284.72","4,284.72",1/14/2015
50974,"1,239.61","1,239.61",1/14/2015
50974,86.71,86.71,1/14/2015
50969,"2,111.34","2,111.34",1/14/2015
50969,"3,000.00","3,000.00",1/14/2015
48830,"13,352.33","13,352.33",1/13/2015
50270,"1,810.00","1,810.00",1/13/2015
49728,"12,544.90","12,544.90",1/13/2015
48831,940.08,940.08,1/13/2015
45987,"11,235.02","11,235.02",1/14/2015
45987,"2,808.76","2,808.76",1/14/2015
45987,"1,908.01","1,908.01",1/14/2015
45987,477.00,477.00,1/14/2015
45987,"3,282.14","3,282.14",1/14/2015
45987,820.54,820.54,1/14/2015
48831,987.89,987.89,1/14/2015
50247,"396,483.73","396,483.73",1/14/2015
