Contract Number,Amount Vouchered,Amount Paid,Check/Item Date
49512,"11,000.00","11,000.00",4/13/2012
49512,"14,500.00","14,500.00",4/13/2012
49168,"20,416.67","20,416.67",4/16/2012
49471,"2,692.22","2,692.22",4/16/2012
49250,602.50,602.50,4/16/2012
47660,"2,500.00","2,500.00",4/16/2012
48880,"38,700.00","38,700.00",4/17/2012
48880,"103,408.82","103,408.82",4/17/2012
48880,"70,405.18","70,405.18",4/17/2012
494813,"5,250.00","5,250.00",4/18/2012
49366,"3,840.00","3,840.00",4/18/2012
48829,"21,989.40","21,989.40",4/18/2012
48683,"2,635.37","2,635.37",4/18/2012
49534,"14,392.52","14,392.52",4/19/2012
49534,100.22,100.22,4/19/2012
49566,"8,737.50","8,737.50",4/19/2012
49539,747.78,747.78,4/19/2012
49179,"5,000.00","5,000.00",4/19/2012
48785,"6,083.15","6,083.15",4/19/2012
48713,"44,718.09","44,718.09",4/19/2012
48713,"61,474.93","61,474.93",4/19/2012
48713,"43,802.04","43,802.04",4/19/2012
48713,"26,201.93","26,201.93",4/19/2012
48713,"2,353.59","2,353.59",4/19/2012
48713,"3,235.53","3,235.53",4/19/2012
48713,"1,379.04","1,379.04",4/19/2012
48713,"2,305.38","2,305.38",4/19/2012
494864,"3,000.00","3,000.00",4/19/2012
47704,372.00,372.00,4/19/2012
49464,"4,032.56","4,032.56",4/19/2012
49464,"15,000.00","15,000.00",4/19/2012
49464,"5,267.44","5,267.44",4/19/2012
49448,"5,000.00","5,000.00",4/23/2012
48211,"50,000.00","50,000.00",4/23/2012
48483,"491,529.16","491,529.16",4/19/2012
49231,"1,112,384.00","1,112,384.00",4/19/2012
48830,"25,294.81","25,294.81",4/23/2012
48473,"128,724.12","128,724.12",4/23/2012
48473,"128,724.12","128,724.12",4/23/2012
48473,"128,724.12","128,724.12",4/23/2012
48473,"128,724.12","128,724.12",4/23/2012
47729,"25,000.00","25,000.00",4/23/2012
47729,"25,000.00","25,000.00",4/23/2012
47729,"25,000.00","25,000.00",4/23/2012
47729,"25,000.00","25,000.00",4/23/2012
43457,"14,482.93","14,482.93",4/23/2012
43457,"1,316.27","1,316.27",4/23/2012
49527,"15,998.39","15,998.39",4/23/2012
49541,"11,000.00","11,000.00",4/23/2012
49528,"6,285.06","6,285.06",4/23/2012
49522,"12,000.00","12,000.00",4/23/2012
49521,"5,000.00","5,000.00",4/23/2012
49521,"5,000.00","5,000.00",4/23/2012
49521,137.40,137.40,4/23/2012
49574,"4,578.67","4,578.67",4/23/2012
49574,"2,421.33","2,421.33",4/23/2012
49574,159.03,159.03,4/23/2012
47794,"28,025.00","28,025.00",4/23/2012
42011,"33,088.10","33,088.10",4/25/2012
49463,"19,000.00","19,000.00",4/26/2012
47941,"19,729.01","19,729.01",4/26/2012
47949,"12,163.53","12,163.53",4/26/2012
48201,"1,839.15","1,839.15",4/26/2012
48201,96.80,96.80,4/26/2012
48201,124.66,124.66,4/26/2012
48201,"2,368.43","2,368.43",4/26/2012
48201,956.61,956.61,4/26/2012
48201,"2,333.22","2,333.22",4/26/2012
48713,"24,535.92","24,535.92",4/26/2012
48713,"1,291.37","1,291.37",4/26/2012
48201,50.35,50.35,4/26/2012
48201,122.81,122.81,4/26/2012
